status,code,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,result,strategy,confidence,rs_score,day_volume,name,lots,odd_lot,cost,fee_buy,fee_sell,tax,fee_tax_total,gross_pnl_dollars,pnl_dollars,net_pnl_dollars
已實現,2355,2026-02-05,2026-02-05,44.238299999999995,40.617837527999995,-8.18,0,停損,ema_trend,1.0,0.3108241676657853,48903.0,敬鵬,1,False,44238.0,63.0,58.0,122.0,243.0,-3620.0,-3863.0,-3863.0
已實現,2887,2026-02-05,2026-03-04,23.196299999999997,24.101699999999997,3.9,27,時間停損,ema_trend,0.85,0.06185059110907387,46393.0,台新新光金,2,False,46393.0,66.0,69.0,145.0,279.0,1811.0,1531.0,1531.0
已實現,4956,2026-02-10,2026-03-02,25.651200000000003,25.6486,-0.01,20,時間停損,ema_trend,0.85,0.20853602997495163,4237.0,光鋐,4,False,102605.0,146.0,146.0,308.0,600.0,-10.0,-611.0,-611.0
已實現,2464,2026-02-10,2026-02-23,75.8514,69.64372142399999,-8.18,13,停損,ema_trend,1.0,0.08256589393458225,14574.0,盟立,1,False,75851.0,108.0,99.0,209.0,416.0,-6208.0,-6624.0,-6624.0
已實現,2489,2026-02-23,2026-03-25,29.8596,32.534800000000004,8.96,30,追蹤停利,ema_trend,1.0,0.5562503356353444,14563.0,瑞軒,2,False,59719.0,85.0,93.0,195.0,373.0,5350.0,4977.0,4977.0
已實現,1326,2026-02-23,2026-03-16,43.4367,44.5108,2.47,21,時間停損,ema_trend,0.89,0.23328533291979137,39080.0,台化,1,False,43437.0,62.0,63.0,134.0,259.0,1074.0,815.0,815.0
已實現,2515,2026-02-24,2026-02-25,18.036,16.559933760000003,-8.18,1,停損,ema_trend,1.0,0.19923471812909982,85469.0,中工,3,False,54108.0,77.0,71.0,149.0,297.0,-4428.0,-4725.0,-4725.0
已實現,2883,2026-02-24,2026-03-16,20.4408,20.459,0.09,20,時間停損,ema_trend,1.0,0.0753987696662856,95506.0,凱基金,1,False,20441.0,29.0,29.0,61.0,120.0,18.0,-101.0,-101.0
持倉中,2485,2026-02-25,2026-03-27,43.7373,80.23920000000001,83.46,30,回測結束,ema_trend,0.88,0.10737737031813174,48707.0,兆赫,1,False,43737.0,62.0,114.0,241.0,417.0,36502.0,36085.0,36085.0
已實現,2515,2026-03-02,2026-03-09,17.0841,15.685937256,-8.18,7,停損,ema_trend,0.85,0.19050208165040666,26781.0,中工,3,False,51252.0,73.0,67.0,141.0,281.0,-4194.0,-4476.0,-4476.0
已實現,3049,2026-03-09,2026-03-13,13.527,12.41995032,-8.18,4,停損,ema_trend,0.95,0.5651425512161072,32789.0,精金,30,False,405810.0,578.0,531.0,1118.0,2227.0,-33211.0,-35439.0,-35439.0
持倉中,2605,2026-03-09,2026-03-27,33.3666,42.914,28.61,18,回測結束,ema_trend,0.85,0.11436162406678864,50830.0,新興,8,False,266933.0,380.0,489.0,1030.0,1900.0,76379.0,74480.0,74480.0
持倉中,3036,2026-03-12,2026-03-27,233.466,228.542,-2.11,15,回測結束,ema_trend,0.85,0.40683937274846355,10799.0,文曄,920,True,214789.0,306.0,300.0,631.0,1236.0,-4530.0,-5767.0,-5767.0
持倉中,4960,2026-03-12,2026-03-27,20.7915,25.7484,23.84,15,回測結束,ema_trend,0.87,0.36481257931717576,18313.0,誠美材,7,False,145540.0,207.0,257.0,541.0,1005.0,34698.0,33693.0,33693.0
持倉中,4919,2026-03-12,2026-03-27,87.8754,102.295,16.41,15,回測結束,ema_trend,0.95,0.34206501377410464,19116.0,新唐,1,False,87875.0,125.0,146.0,307.0,578.0,14420.0,13842.0,13842.0
已實現,3481,2026-03-12,2026-03-16,31.062,28.519885920000004,-8.18,4,停損,ema_trend,0.89,0.3127732706548385,1686196.0,群創,2,False,62124.0,89.0,81.0,171.0,341.0,-5084.0,-5425.0,-5425.0
持倉中,2406,2026-03-12,2026-03-27,34.068,35.628600000000006,4.58,15,回測結束,ema_trend,0.85,0.14907686296620498,35973.0,國碩,1,False,34068.0,49.0,51.0,107.0,206.0,1561.0,1354.0,1354.0
已實現,3576,2026-03-13,2026-03-24,22.7454,20.883916464000002,-8.18,11,停損,ema_trend,0.89,1.0358141858141863,24185.0,聯合再生,7,False,159218.0,227.0,208.0,439.0,874.0,-13030.0,-13904.0,-13904.0
已實現,1310,2026-03-13,2026-03-24,12.2244,11.223955104,-8.18,11,停損,ema_trend,0.88,0.2563549444905378,21105.0,台苯,9,False,110020.0,157.0,144.0,303.0,604.0,-9004.0,-9608.0,-9608.0
